Name,Role_Type,Role,Affiliation,ORCID,Primary_Fields,Keywords,Subfields_Specialties,Methods_Techniques,Distinctions,Expertise,Keck_Affiliation,Keck_Affiliation_Details
Paul D. Thomas,Consultant,Professor of Population and Public Health Sciences,University of Southern California,https://orcid.org/0000-0002-9074-3507,Computational Biology; Bioinformatics; Functional Genomics; Evolutionary Biology,PANTHER; Gene Ontology; protein function prediction; phylogenomics; ancestral genome reconstruction,Protein family phylogenomics (PANTHER); Gene Ontology curation and functional annotation; Phylogenetic propagation of gene function; Human genome gene prediction and annotation; Protein sequence-function evolution; Ancestral genome reconstruction; Gene function enrichment analysis; Ortholog inference,PANTHER phylogenomics software; Gene Ontology Phylogenetic Annotation (PAINT); Bayesian function inference; Hidden Markov models for protein families; InterProScan integration; Large-scale omics enrichment analysis,Director Gene Ontology Consortium; Human Genome Project contributor (first human genome sequencing paper 2001),PANTHER developer and Gene Ontology Consortium director; expertise in protein function inference from evolutionary relationships; genome-scale annotation of gene function; and statistical enrichment analysis for omics datasets. Relevant for S&E and Medical Research proposals in functional genomics; protein biology; and computational biology.,,
Sheng Li,Consultant,Associate Professor of Biochemistry & Molecular Medicine,University of Southern California Keck School of Medicine,https://orcid.org/0000-0002-6258-3147,Computational Biology; Cancer Epigenomics; Hematology; Bioinformatics; Aging Biology,cancer epigenomics; DNA methylation; clonal hematopoiesis; single-cell multi-omics; leukemia,Cancer epigenomics and DNA methylation heterogeneity; Clonal hematopoiesis and leukemia evolution; Single-cell multi-omics; Spatial transcriptomics; Long-read sequencing epigenomics; Hematopoietic stem cell aging; Tumor microenvironment; Cellular senescence; Transcription factor regulatory networks,Single-cell RNA-seq and ATAC-seq; Spatial transcriptomics; Nanopore long-read DNA methylation; Hi-C chromatin conformation; CRISPR epigenome editing; Machine learning for multi-omics integration; Tumor heterogeneity computational analysis,LLS Career Development Program Scholar Award; AACR NextGen Star; NIH MIRA (Maximizing Investigators' Research Award),Develops AI-driven computational methods for cancer epigenomics and hematopoietic stem cell aging; expertise in DNA methylation; clonal hematopoiesis; and single-cell multi-omics; applies long-read sequencing to epigenetic variation. Relevant for Medical Research proposals in cancer biology; hematology; epigenomics; and stem cell aging.,,
B.S. Manjunath,Consultant,Professor of Electrical & Computer Engineering,University of California Santa Barbara,,Image Analysis; Bioimage Informatics; Computer Vision; Multimedia Computing,bioimage informatics; image segmentation; BisQue platform; texture analysis; multimodal data,Bioimage analysis and informatics; Image segmentation and registration; Texture and shape analysis; Biological image databases; Microscopy image processing; Neuron morphology analysis; Cell tracking; High-dimensional feature extraction; Steganography and image security; Remote sensing image analysis,Bioimage segmentation; BisQue open-source image informatics platform; Content-based image retrieval; Convolutional deep learning for images; Biological image annotation; 3D/4D microscopy data management; MPEG-7 multimedia representation,Director NSF Bio-Image Informatics Center; 24 patents; MPEG-7 co-editor,Bioimage informatics; image segmentation; analysis and retrieval of microscopy data; developer of BisQue platform for large-scale biological image management and analysis; expert in texture and shape analysis for biological images. Relevant for S&E and Medical Research proposals requiring quantitative microscopy; high-content imaging analysis; or large-scale image data infrastructure.,,
Nina Miolane,Consultant,Assistant Professor of Electrical & Computer Engineering,University of California Santa Barbara,,Geometric Deep Learning; Computational Biology; Biomedical Imaging; Applied Mathematics; AI for Science,geometric deep learning; shape analysis; cryo-EM reconstruction; Riemannian geometry; computational anatomy,Geometric statistics for biomedical imaging; Protein and cell shape analysis; Cryo-electron microscopy reconstruction; Membrane protein structure; Equivariant and topological deep learning; Riemannian geometry in machine learning; Computational anatomy; Women's brain health imaging; Geomstats library,Geometric deep learning (equivariant networks); Shape descriptor computation; Cryo-EM 3D reconstruction; Riemannian manifold statistics; Topological data analysis; Python Geomstats library; Computer vision for biological shapes,L'Oréal-UNESCO for Women in Science Award; NSF CAREER Award; NIH R01,Geometric AI for biomedical shape analysis; develops mathematical and deep learning methods for quantifying biological shapes at molecular to organ scale; expert in cryo-EM reconstruction; membrane protein structure; and geometric statistics for imaging. Relevant for S&E and Medical Research proposals involving quantitative imaging; cryo-EM; structural biology; and AI-driven image analysis.,,
Craig E. Manning,Consultant,Distinguished Professor of Geology and Geochemistry,University of California Los Angeles,,Geology; Geochemistry; Petrology; Metamorphic Petrology; Experimental Petrology,high-pressure aqueous geochemistry; metamorphic petrology; subduction fluids; hydrothermal systems; fluid-rock interaction,High-pressure aqueous geochemistry; Metamorphic petrology; Experimental petrology; Subduction zone fluid chemistry; Mid-ocean ridge hydrothermal systems; Fluid-rock interaction in lower crust; Mineral solubility in water; Volatiles in crustal fluids; Permeability and fluid flow; Deep carbon cycle; Cenozoic magma-hydrothermal systems; Tectonometamorphic evolution of central Asia,High-pressure/high-temperature piston-cylinder experiments; Phase equilibria; Mineral solubility measurements; Fluid inclusion analysis; Stable isotope geochemistry; Electron microprobe; Field-based metamorphic petrology,Fellow American Geophysical Union; Fellow Mineralogical Society of America; AGU Norman Bowen Award 2017; Distinguished Professor UCLA,Experimental geochemist specializing in high-pressure aqueous geochemistry; fluid-rock interaction in the deep crust and subduction zones; mineral solubility; metamorphic petrology; and the deep carbon cycle. Relevant for S&E proposals in geochemistry; earth science; experimental petrology; and crustal fluid systems.,,
Aydogan Ozcan,Consultant,Chancellor's Professor and Volgenau Chair for Engineering Innovation; HHMI Professor,University of California Los Angeles,,Computational Imaging; Electrical Engineering; Biomedical Engineering; Photonics; AI for Science,computational imaging; lensless microscopy; deep learning optics; mobile diagnostics; biophotonics,Lensless and on-chip computational microscopy; Deep learning for optical imaging and sensing; Mobile diagnostics and point-of-care technologies; Holographic imaging; Fluorescence microscopy; AI-enhanced pathology; Optical computing; Telemedicine and global health sensing; Bio-sensing; Nanophotonic sensor arrays,Lensless (lensfree) microscopy; Holographic reconstruction; Deep learning neural network image processing; Smartphone-based diagnostic device engineering; Wide-field fluorescence imaging; In silico staining; Digital pathology; Optical coherence tomography,NAE Member (2025); HHMI Professor; Fellow AAAS; Fellow IEEE; Fellow AIMBE; Fellow SPIE; Fellow APS; PECASE; Dennis Gabor Award (SPIE) 2023; Joseph Fraunhofer Award (Optica) 2022; NSF CAREER Award; NIH Director's New Innovator Award; Guggenheim Fellow,Pioneered computational imaging platforms combining optics; deep learning; and mobile sensing for diagnostics; lensless microscopy; AI-driven virtual staining; and point-of-care technologies. Relevant for S&E and Medical Research proposals in optical engineering; computational microscopy; AI for imaging; and biomedical diagnostics.,,
Jason Ernst,Consultant,Professor of Biological Chemistry; Computer Science; and Computational Medicine,University of California Los Angeles,,Computational Biology; Bioinformatics; Epigenomics; Regulatory Genomics; Machine Learning,ChromHMM; chromatin state modeling; epigenomics; regulatory genomics; non-coding genome,Chromatin state modeling and genome annotation; Regulatory genomics and enhancer biology; Non-coding variant interpretation; Epigenomic variation across cell types and individuals; Single-cell epigenomics; Noncoding de novo variants in autism; DNA methylation; Psychiatric and neurological disease genomics; Cancer genomics; Functional annotation of the human genome,ChromHMM (chromatin state annotation); DREM/STEM (time-series gene expression); Machine learning for regulatory sequence; Imputation of epigenomic data; Epigenome-wide association; RNA-seq and ATAC-seq integration; Genome-wide computational annotation,NSF CAREER Award; NIH Avenir Award; Sloan Research Fellowship; NSF Postdoctoral Fellowship,Develops and applies machine learning methods for epigenomics and regulatory genomics; ChromHMM developer for chromatin state annotation; expert in non-coding genome interpretation; epigenomic variation; and functional annotation across diseases including cancer; ASD; and psychiatric disorders. Relevant for S&E and Medical Research proposals in computational genomics; epigenomics; and gene regulation.,,
Sriram Sankararaman,Consultant,Professor of Computer Science; Human Genetics; and Computational Medicine,University of California Los Angeles,,Computational Genomics; Population Genetics; Statistical Genomics; Machine Learning; Evolutionary Biology,population genetics; admixture; GWAS; archaic introgression; ML for genomics,Population structure and ancestry inference; GWAS and genome-wide association at biobank scale; Archaic introgression (Neanderthal and Denisovan DNA); Local ancestry estimation in admixed populations; Gene-environment interaction; Epistasis detection; Variance components analysis; Deep learning for phenotype imputation; Genomic privacy; Human evolutionary genomics,Probabilistic PCA for genetic variation; Local ancestry inference; Kernel-based association testing; Scalable variance component models; Deep learning phenotype imputation; Population structure inference at biobank scale; Admixture graph estimation,NSF CAREER Award; Sloan Research Fellowship; Microsoft Investigator Fellowship; NIH Pathway to Independence Award; Okawa Foundation Research Grant; Hellman Fellow,Statistical and computational methods for population genetics; biobank-scale GWAS; ancestry inference in admixed populations; archaic introgression; and ML-driven genomic analysis. Relevant for S&E and Medical Research proposals in population genetics; computational genomics; human evolutionary biology; and large-scale genetic data analysis.,,
Eran Halperin,Consultant,Professor of Computer Science; Computational Medicine; Human Genetics; and Anesthesiology,University of California Los Angeles,,Statistical Genomics; Computational Biology; Bioinformatics; Clinical Data Science; Epidemiology,GWAS; methylation deconvolution; microbiome computation; EHR genomics; cell-type-specific analysis,Statistical methods for GWAS and epigenetic studies; Cell-type deconvolution from bulk methylation and RNA data; Microbiome temporal modeling; Electronic health records integrated with genomics; Single-cell and single-nucleus RNA analysis; Population stratification correction; Genomic privacy; Epigenome-wide association studies,ReFACTor and TCA cell-type deconvolution; Linear mixed models for genomics; FEAST microbiome source tracking; Bayesian methods for genetic data; Epigenome-wide association analysis; EHR-integrated genomic analysis; Machine learning for clinical genomic outcomes,Fellow International Society for Computational Biology; Rothschild Fellowship; Technion-Juludan Prize; Krill Prize,Statistical and computational genomics spanning GWAS methods; methylation cell-type deconvolution; microbiome modeling; and EHR-integrated genetic data analysis. Relevant for S&E and Medical Research proposals in statistical genomics; epigenomics; computational medicine; and clinical data science.,,
Alex Bui,Consultant,Professor of Radiological Sciences; Bioengineering; and Bioinformatics; Director Medical and Imaging Informatics,University of California Los Angeles,,Medical Informatics; Clinical AI; Biomedical Data Science; Imaging Informatics; mHealth,medical informatics; EHR; AI in healthcare; clinical decision support; biomedical data science,Medical and imaging informatics; Electronic health record analytics; Reinforcement learning in clinical settings; mHealth and mobile sensing; AI/ML for clinical decision support; Biomedical data visualization; Precision health informatics; Clinical AI translation; NIH Bridge2AI Coordination; Translational informatics; Social determinants of health modeling,EHR data integration and analytics; Machine learning for clinical outcomes; Distributed data architectures; Reinforcement learning; Mobile health sensor data; NLP for clinical text; Biomedical image informatics; Multi-modal data fusion for healthcare,David Geffen Chair in Informatics; PI UCLA Bridge2AI Coordination Center; Co-Chair UC AI Council; Senior Associate Dean DGSOM UCLA,Medical informatics and clinical AI spanning EHR analytics; mHealth; reinforcement learning for clinical decisions; biomedical data visualization; and precision health infrastructure. Relevant for Medical Research proposals in clinical data science; AI in healthcare; and translational informatics.,,
Wei Wang,Consultant,Leonard Kleinrock Chair Professor of Computer Science and Computational Medicine,University of California Los Angeles,,Data Mining; Machine Learning; Bioinformatics; Computational Medicine; Natural Language Processing,big data analytics; data mining; ML for biology; computational medicine; network biology,Big data analytics and scalable mining algorithms; Machine learning for biological and medical data; Natural language processing for biomedical text; Network-based approaches in systems biology; Computational cancer biology; Graph neural networks; Single-cell data analysis; AI for science; Knowledge discovery from heterogeneous data,Scalable machine learning algorithms; Graph and network analysis; Deep learning for biological data; NLP for clinical and biomedical text; High-dimensional data mining; Multi-omics data integration; Bioinformatics pipeline development,ACM Fellow; IEEE Fellow; NSF CAREER Award; Microsoft Research New Faculty Fellow; Okawa Foundation Research Award; ACM SIGKDD Service Award,Broadly expert in data mining; machine learning; and computational approaches to biology and medicine; applies AI and network methods to cancer; systems biology; and clinical data at scale. Relevant for S&E and Medical Research proposals in computational biology; data science; and AI-driven scientific discovery.,,
Harold Pimentel,Consultant,Assistant Professor of Computational Medicine and Human Genetics,University of California Los Angeles,,Computational Biology; Bioinformatics; Transcriptomics; Statistical Genomics; Gene Regulation,RNA quantification; kallisto; sleuth; differential expression; transcriptome statistics,RNA quantification and transcript abundance estimation; Differential expression analysis; Statistical modeling of high-throughput RNA-seq data; Gene regulation and transcriptomics; Single-cell RNA-seq methods; Computational methods for high-dimensional biology; Genomic data reproducibility and statistical rigor,kallisto (rapid RNA-seq pseudoalignment); sleuth (differential expression); Bayesian inference for transcriptomics; Single-cell RNA-seq analysis; Bootstrap-based uncertainty quantification; Statistical modeling of gene expression,NSF CAREER Award,Develops computational and statistical methods for RNA quantification and transcriptomics; creator of kallisto and sleuth tools widely used in gene expression analysis. Junior faculty with growing expertise in statistical genomics. Relevant for S&E and Medical Research proposals in transcriptomics; RNA biology; and computational genomics.,,
S. George Djorgovski,Consultant,Professor of Astronomy and Data Science,California Institute of Technology,,Observational Astrophysics; Data Science; Astroinformatics; Cosmology; Time-Domain Astronomy,astroinformatics; digital sky surveys; machine learning for astronomy; gamma-ray bursts; galaxy formation,Observational cosmology and galaxy formation; Quasar and gamma-ray burst observations; Gravitational lenses and binary quasars; Globular cluster dynamics; Time-domain and synoptic sky surveys; Virtual Observatory and cyber-infrastructure; Machine learning and AI for large astronomical datasets; Data-driven discovery in science; AstroInformatics methodology; Knowledge transfer between astronomy and biomedicine,Digital sky survey analysis (DPOSS); Machine learning for image classification; Astroinformatics pipelines; Virtual Observatory frameworks; Light-curve analysis; Multi-wavelength survey data fusion; AI/ML-driven anomaly detection in large datasets,Fellow AAAS; Sloan Research Fellowship; Presidential Young Investigator; Harvard Junior Fellow; Senior Data Science Advisor W.M. Keck Foundation; Dudley Observatory Award; NASA Group Achievement Award,Observational astrophysicist and pioneer of astroinformatics who developed frameworks for applying machine learning and data science to large-scale astronomical surveys; works on methodology transfer from astronomy to medicine and other fields. Current Senior Data Science Advisor to the W.M. Keck Foundation. Relevant for S&E proposals in astronomy; astrophysics; data science; and AI for scientific discovery.,Past Grantee,Senior Data Science Advisor W.M. Keck Foundation (current)
Jack G.E. Harris,Consultant,Professor of Physics and Applied Physics,Yale University,,Quantum Optomechanics; Condensed Matter Physics; Quantum Physics; Topological Physics; AMO Physics,quantum optomechanics; superfluid helium; exceptional points; macroscopic quantum effects; mechanical oscillators,Quantum optomechanics and macroscopic quantum phenomena; Superfluid helium quantum mechanics; Non-Hermitian physics and exceptional points; Levitated mechanical oscillators; Topological effects in coupled oscillators; Quantum-limited force detection; Persistent currents in mesoscopic rings; Quantum sensing and dark matter detection; Light-matter interaction in cavities; Membrane-in-the-middle optomechanical devices,Optical cavity fabrication; Superfluid helium containment and levitation; Cryogenic optomechanical devices; Precision optical interferometry; Non-Hermitian Hamiltonian engineering; Single-crystal membrane resonators; Microwave and optical cavity coupling,Vannevar Bush Faculty Fellowship (DoD) 2019; Fellow APS (DAMOP) 2016; Sloan Research Fellowship; DARPA Young Faculty Award; Yale Junior Faculty Fellowship,Quantum optomechanics combining high-finesse optical cavities; superfluid helium; and ultrasensitive mechanical oscillators; pioneered membrane-in-the-middle devices; exceptional point physics; and macroscopic quantum sensing. Past Keck grantee. Relevant for S&E proposals in quantum physics; quantum sensing; macroscopic quantum phenomena; and optomechanics.,Past Grantee,
Kent Kresa,Board,Board Member,W.M. Keck Foundation,,Aerospace Engineering; Defense Technology; Systems Engineering; Technology Leadership,aeronautics; defense R&D; systems engineering; aerospace technology; DARPA,Ballistic missile defense; Reentry vehicle technology; Aerospace manufacturing and systems integration; Defense advanced research; Large-scale technology development; Corporate technology strategy,Systems engineering; Large-scale technology program management; Defense R&D program oversight; Aerospace vehicle design and integration,NAE Member (aeronautical technology; 1997),Aerospace engineering and defense technology; DARPA research programs; MIT Lincoln Laboratory ballistic missile defense; Northrop Grumman aerospace systems. Relevant for S&E proposals in aerospace engineering; large-scale instrumentation; and defense-adjacent technology. Board role is primarily strategic; scientific review scope is narrow.,Board Member,Board Member; W.M. Keck Foundation
TBD: Neurodegeneration specialist,Consultant,To be recruited,TBD,,Neuroscience; Cell Biology; Disease Modeling,Alzheimer's disease; neurodegeneration; iPSC disease models; tau pathology; neuronal aging,iPSC-based Alzheimer's modeling; tau/amyloid pathology; neurodegen mechanisms; neuronal aging; microglial biology in AD; Parkinson's disease; disease biomarkers,iPSC neuronal differentiation; live imaging; tau/amyloid assays; CRISPR disease modeling; omics of neurodegeneration,TBD,Expert in Alzheimer's disease molecular biology; tau pathology; amyloid processing; microglial activation; or neuroinflammation in neurodegeneration. Note: Jean Kim (iPSC platform) can evaluate methodology and disease-modeling approach for all 6 proposals; what is missing is the AD-specific cell biology — the scientific premise of tau propagation; amyloid cascade; microglial biology; and neuronal aging. Relevant for MR proposals in neurodegeneration: 1002020; 1002168; 1002257; 1002292; 1002372; 1002218.,,Not yet recruited
Thomas E. Everhart,Board,Trustee Emeritus,California Institute of Technology,N/A,Electron Physics; Electrical Engineering; Nanoscale Instrumentation,scanning electron microscopy; electron beam physics; electron optics; semiconductor imaging; nanoscale characterization,Scanning electron microscopy (SEM) instrumentation; Electron beam detection; Secondary electron imaging; Voltage contrast imaging; Electron reflection theory; EBIC imaging; Semiconductor device characterization; Electron optics; Nanoscale surface topography; Microfabrication characterization,SEM design and instrumentation; Secondary electron detection (Everhart-Thornley detector); Voltage contrast imaging of p-n junctions; EBIC imaging; Electron beam penetration modeling; Nanoscale surface characterization,NAE member 1978; Fellow IEEE; Fellow AAAS; Foreign Member Royal Academy of Engineering; IEEE Founders Medal 2002; Okawa Prize 2002; IEEE Centennial Medal 1984; Marshall Scholarship,Physicist and SEM pioneer whose foundational research established the principles of scanning electron microscopy — including electron detection efficiency; secondary electron contrast mechanisms; voltage contrast imaging of semiconductor junctions; and electron beam penetration theory. Co-inventor of the Everhart-Thornley secondary electron detector; now standard in virtually all SEMs. Deep knowledge of electron beam instrumentation; nanoscale surface and device characterization; and electron optics. Relevant for S&E proposals in electron beam instrumentation; nanoscale characterization; semiconductor physics; and advanced microscopy.,Board Member,Trustee Emeritus; Caltech president 1987-1997 during original Keck Observatory development
Robert A. Bradway,Board,Trustee; Chairman and CEO,Amgen,N/A,Biopharmaceutical Industry; Oncology; Cardiometabolic Medicine; Population Genetics,biologics development; cancer therapeutics; precision oncology; ADC; population genetics,Biologic drug development; Antibody-based cancer therapeutics; Antibody-drug conjugates (ADC); Cardiometabolic disease (PCSK9; lipid-lowering biologics); Population-scale human genetics; Biosimilars; Precision oncology; R&D pipeline management; Clinical development strategy; Large pharma operations,Biopharmaceutical R&D strategy; Clinical development pipeline oversight; Population genetics platform evaluation (large-scale cohort studies); Target validation assessment; Drug commercialization strategy,Chairman CEO Roundtable on Cancer; Member American Heart Association CEO Roundtable,Biopharmaceutical executive with deep industry experience in cancer biologics; cardiometabolic therapeutics; and large-scale human genetics. Oversaw strategic development across antibody-drug conjugates; PCSK9 inhibitors; and biosimilars; and directed acquisition of population-genetics capabilities. His perspective is translational and strategic rather than bench scientific — most valuable for proposals with a clear path toward biologic drug development; antibody engineering platforms; population-scale target discovery; or precision oncology. Not a scientific peer reviewer in the traditional sense; flag for industry-perspective input on translational proposals.,Board Member,
Richard N. Foster,Board,Trustee,Millbrook Management Group LLC,N/A,Innovation Strategy; R&D Management; Technology Economics,innovation strategy; R&D portfolio management; technology S-curves; creative destruction; science philanthropy strategy,Innovation economics; Technology disruption and S-curves; R&D return-on-investment analysis; Capital allocation for science; Life sciences investment strategy; Complexity economics (Santa Fe Institute); Healthcare industry strategy; Science policy,R&D portfolio analysis; Technology trajectory modeling; Capital markets and innovation performance analysis; Strategic consulting for technology-intensive industries,Maurice Holland Award (Industrial Research Institute) 1986; Venture Partner Lux Capital; Board Memorial Sloan Kettering Cancer Center,PhD engineer and former McKinsey senior partner whose career focused on the economics of R&D; technology S-curves; and innovation strategy. Author of influential frameworks on how technological disruption unfolds across industries. Board experience includes Memorial Sloan Kettering and the Santa Fe Institute (complexity economics). His perspective is strategic and economic rather than scientific — most useful for assessing R&D platform proposals; large-scale enabling technology bets; or proposals where the innovation trajectory and translational potential are primary considerations. Not a scientific reviewer; no proposals in J26 identified where his specific expertise adds distinct scientific value.,Board Member,
